;Tool  Pocket X Offset     Z Offset     Fnt Ang      Bak Ang      Diameter     Orient Remark
T1     P-1    X+0.000000   Z+0.000000   I+90.000000  J+10.000000  D+0.031250   Q2     ; SWGCR-WCKT-222-RH TURNING TOOL
T2     P-1    X+0.000000   Z+0.000000   I+85.000000  J+5.000000   D+0.015625   Q2     ; SCLCR-CCGT-21.51-RH TURNING TOOL
T3     P-1    X+0.000000   Z+0.000000   I+87.000000  J+3.000000   D+0.015625   Q2     ; SDJCR-DCGT-21.51-RH TURNING TOOL
T4     P-1    X+0.000000   Z+0.000000   I+87.000000  J+3.000000   D+0.020000   Q2     ; SVJCR-VCGT-221-RH TURNING TOOL
T5     P-1    X+0.000000   Z+0.000000   I+85.000000  J+5.000000   D+0.015625   Q2     ; SCLCL-CCGT-21.51-LH TURNING TOOL
T6     P-1    X+0.000000   Z+0.000000   I+87.000000  J+3.000000   D+0.015625   Q2     ; SDJCL-DCGT-21.51-LH TURNING TOOL
T7     P-1    X+0.000000   Z+0.000000   I+87.000000  J+3.000000   D+0.015625   Q2     ; SVJCL-VCGT-221-LH TURNING TOOL
T8     P-1    X+0.000000   Z+0.000000   I+85.000000  J+5.000000   D+0.015625   Q2     ; SDNCN-DCGT-21.51-NEUTRAL TURNING TOOL
T9     P-1    X+0.000000   Z+0.000000   I+107.500000 J+17.500000  D+0.015625   Q2     ; SVVCN-VCGT-221-NEUTRAL TURNING
T10    P-1    X+0.000000   Z+0.000000   I+90.000000  J+90.000000  D+0.001575   Q2     ; MGEHR MGGN-1.5-GROOVING-PARTING TOOL
T11    P-1    X+0.000000   Z+0.000000   I+90.000000  J+90.000000  D+0.001575   Q2     ; MGEHR MGGN-2.0-GROOVING-PARTING TOOL
T12    P-1    X+0.000000   Z+0.000000   I+90.000000  J+90.000000  D+0.020000   Q2     ; MGEHR MGGN-3.0-GROOVING-PARTING TOOL
T13    P-1    X+0.000000   Z+0.000000   I+120.000000 J+60.000000  D+0.000000   Q2     ; SER-11ERA60-RH EXTERNAL THREADING
T14    P-1    X+0.000000   Z+0.000000   I+120.000000 J+60.000000  D+0.000000   Q3     ; SIR-375-H11-11IRA60-RH INTERNAL THREADING
T15    P-1    X+0.000000   Z+0.000000   I+90.000000  J+90.000000  D+0.001575   Q3     ; SNGR-10K07-RH-INTERNAL GROOVING
T16    P-1    X+0.000000   Z+0.000000   I+120.000000 J+60.000000  D+0.000000   Q2     
T17    P-1    X+0.000000   Z+0.000000   I+85.000000  J+5.000000   D+0.015600   Q3     ; S07K-SCLCR-CCGT-21.51-RH BORING BAR
T18    P-1    X+0.000000   Z+0.000000   I+275.000000 J+355.000000 D+0.015625   Q3     ; S10K-SCLCR-CCGT-21.51-RH BORING BAR
T19    P-1    X+0.000000   Z+0.000000   I+85.000000  J+5.000000   D+0.015625   Q3     ; S12M-SCLCR-CCGT-21.51-RH BORING BAR
T20    P-1    X+0.000000   Z+0.000000   I+0.000000   J+0.000000   D+0.453100   Q9     ; 0.4531 Drill
T21    P-1    X+0.000000   Z+0.000000   I+90.000000  J+90.000000  D+0.007812   Q3     ; MGIVL2016-2 Internal Grooving
T22    P-1    X+0.000000   Z+0.000000   I+0.000000   J+0.000000   D+0.446000   Q9     ; 0.4460 Drill
T23    P-1    X+0.000000   Z+0.000000   I+0.000000   J+0.000000   D+0.500000   Q9     ; 1/2-20 tap
