;Tool  Pocket X Offset     Y Offset     Z Offset     Diameter     Remark
T1     P1     X+0.000000   Y+0.000000   Z+89.646760  D+3.175000   ; 1/8" 3 Flute 45 deg Helix 0.375 loc 1.500 oal
T2     P2     X+0.000000   Y+0.000000   Z+90.070940  D+4.762500   ; 3/16" 3 Flute 45 deg Helix 0.5625 loc 2.000 oal
T3     P3     X+0.000000   Y+0.000000   Z+96.908620  D+6.350000   ; 1/4" 3 Flute 45 deg Helix 0.750 loc 3.000 oal
T4     P4     X+0.000000   Y+0.000000   Z+112.615980 D+6.350000   ; 1/4" 3 Flute 45 deg Helix 1.250 loc 3.250 oal
T5     P5     X+0.000000   Y+0.000000   Z+103.423720 D+9.525000   ; 3/8" 3 Flute 45 deg Helix 1.000 loc 2.500 oal
T6     P6     X+0.000000   Y+0.000000   Z+118.785640 D+9.525000   ; 3/8" 3 Flute 45 deg Helix 1.500 loc 3.500 oal
T7     P7     X+0.000000   Y+0.000000   Z+136.329420 D+12.700000  ; 1/2" 3 Flute 45 deg Helix 2.000 loc 4.000 oal
T8     P8     X+0.000000   Y+0.000000   Z+114.587020 D+12.700000  ; 1/2" 3 Flute 45 deg Helix 1.250 loc 3.000 oal
T9     P9     X+0.000000   Y+0.000000   Z+98.198940  D+4.762500   ; 3/16" 3 Flute Ball End Mill 38 Deg Helix .625 loc 2.500 oal
T10    P10    X+0.000000   Y+0.000000   Z+102.295960 D+6.350000   ; 1/4" 3 Flute Ball End Mill 38 Deg Helix .750 loc 2.500 oal
T11    P11    X+0.000000   Y+0.000000   Z+107.426760 D+9.525000   ; 3/8" 3 Flute Carbide Ball End Mill 38 Deg Helix .875 loc 2.500 oal
T12    P12    X+0.000000   Y+0.000000   Z+116.238020 D+12.700000  ; 1/2" 3 Flute Chipbreaker End Mill 1.375 loc
T13    P13    X+0.000000   Y+0.000000   Z+90.269060  D+3.175000   ; 1/8" 4 Flute VH End Mill TiALN 0.500 loc 0.010 CR 1.500 oal
T14    P14    X+0.000000   Y+0.000000   Z+92.199460  D+4.762500   ; 3/16" 4 Flute VH End Mill TiALN 0.625 loc 0.010 CR 2.000 oal
T15    P15    X+0.000000   Y+0.000000   Z+99.946460  D+6.350000   ; 1/4" 4 Flute VH End Mill TiALN 0.750 loc 0.015 CR 2.500 oal
T16    P16    X+0.000000   Y+0.000000   Z+102.047040 D+7.937500   ; 5/16" 4 Flute VH End Mill TiALN 0.8125 loc 0.015 CR 2.500 oal
T17    P17    X+0.000000   Y+0.000000   Z+102.730300 D+9.525000   ; 3/8" 4 Flute VH End Mill TiALN 1.0000 loc 0.020 CR 2.500 oal
