# SAE thread data
# descr,   tpi, e maj , e min , i maj , i min , l len
6-32,       32, 0.1372, 0.0989, 0.1380, 0.1040, 0.0938
8-32,       32, 0.1631, 0.1248, 0.1640, 0.1300, 0.0938
10-24,      24, 0.1890, 0.1379, 0.1900, 0.1450, 0.1250
10-32,      32, 0.1891, 0.1379, 0.1900, 0.1560, 0.0938
1/4-20,     20, 0.2489, 0.1876, 0.2500, 0.1960, 0.1500
1/4-28,     28, 0.2490, 0.2052, 0.2500, 0.2110, 0.1071
5/16-18,    18, 0.3113, 0.2431, 0.3125, 0.2520, 0.1667
5/16-24,    24, 0.3114, 0.2603, 0.3125, 0.2670, 0.1250
3/8-16,     16, 0.3737, 0.2970, 0.3750, 0.3070, 0.1875
3/8-24,     24, 0.3739, 0.3228, 0.3750, 0.3300, 0.1250
7/16-14,    14, 0.4361, 0.3485, 0.4375, 0.3600, 0.2143
7/16-20,    20, 0.4362, 0.3749, 0.4375, 0.3830, 0.1500
1/2-13,     13, 0.4985, 0.4041, 0.5000, 0.4170, 0.2308
1/2-20,     20, 0.4987, 0.4374, 0.5000, 0.4460, 0.1500
5/8-11,     11, 0.6234, 0.5119, 0.6250, 0.5270, 0.2727
5/8-18,     18, 0.6236, 0.5554, 0.6250, 0.5650, 0.1667
3/4-10,     10, 0.7482, 0.6255, 0.7500, 0.6420, 0.3000
3/4-16,     16, 0.7485, 0.6718, 0.7500, 0.6820, 0.1875
7/8-9,      9,  0.8731, 0.7368, 0.8750, 0.7550, 0.3333
7/8-14,     14, 0.8734, 0.7858, 0.8750, 0.7980, 0.2143
1-8,        8,  0.9980, 0.8446, 1.0000, 0.8650, 0.3750
1-12,       12, 0.9982, 0.8960, 1.0000, 0.9100, 0.2500
1-1/8-7,    7,  1.1228, 0.9475, 1.1250, 0.9700, 0.4286
1-1/8-12,   12, 1.1232, 1.0210, 1.1250, 1.0350, 0.2500
1-1/4-7,    7,  1.2478, 1.0725, 1.2500, 1.0950, 0.4286
1-1/4-12,   12, 1.2482, 1.1460, 1.2500, 1.1600, 0.2500
1-3/8-6,    6,  1.3726, 1.1681, 1.3750, 1.1950, 0.5000
1-3/8-12,   12, 1.3731, 1.2709, 1.3750, 1.2850, 0.2500
1-1/2-6,    6,  1.4976, 1.2931, 1.5000, 1.3200, 0.5000
1-1/2-12,   12, 1.4981, 1.3959, 1.5000, 1.4100, 0.2500
1-3/4-5,     5, 1.7473, 1.5019, 1.7500, 1.5430, 0.6000
2-6,         6, 1.9971, 1.7245, 2.0000, 1.7590, 0.5000
# NPT Data,,,,,,
# descr,   TPI,  e maj, e min , I maj , I min , l len
1/16 NPT,   27, 0.2985, 0.2439, 0.3085, 0.2539, 0.112
1/8 NPT,    27, 0.3908, 0.3362, 0.4009, 0.3463, 0.112
1/4 NPT,    18, 0.5188, 0.4360, 0.5330, 0.4502, 0.168
3/8 NPT,    18, 0.6534, 0.5706, 0.6684, 0.5856, 0.168
1/2 NPT,    14, 0.8124, 0.7045, 0.8324, 0.7245, 0.214
3/4 NPT,    14, 1.0216, 0.9138, 1.0428, 0.9349, 0.214
1 NPT,    11.5, 1.2797, 1.1475, 1.3047, 1.1725, 0.261
1-1/4 NPT,11.5, 1.6232, 1.4910, 1.6495, 1.5173, 0.261
1-1/2 NPT,11.5, 1.8622, 1.7300, 1.8884, 1.7563, 0.261
2 NPT,    11.5, 2.3351, 2.2029, 2.3624, 2.2302, 0.261
